,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, December 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
Cardiff Central,Cardiff Central,Wales,"1,373.09910705033",288.09910705034,"1,370",,-35,-2,,3.1,172,,285,,10,3.6,,250,,-15,-5.7,,"1,072",298,
Cardiff North,Cardiff North,Wales,661.48341558985,146.48341558985,660,,-65,-9,,1.5,449,,145,,-5,-3.3,,155,,-30,-16.2,,480,180,
Cardiff South and Penarth,Cardiff South and Penarth,Wales,"1,713.00494177847",378.00494177847,"1,710",,-125,-7,,3.0,190,,375,,35,10.3,,350,,-40,-10.3,,"1,306",408,
Cardiff West,Cardiff West,Wales,"1,418.15184104171",313.15184104171,"1,415",,-165,-10,,3.2,164,,310,,-20,-6.1,,285,,-15,-5.0,,"1,050",365,
Carlisle,Carlisle,England,711.64752140751,166.64752140751,710,,-60,-8,,1.6,410,,165,,-25,-13.2,,160,,-5,-3.0,,293,417,
Carmarthen East and Dinefwr,Carmarthen East and Dinefwr,Wales,687.18752030251,167.18752030251,685,,5,1,,2.2,316,,165,,-20,-10.8,,200,,40,25.0,,498,183,
Carmarthen West and South Pembrokeshire,Carmarthen West and South Pembrokeshire,Wales,987.87459629907,207.87459629907,985,,-25,-2,,2.9,206,,205,,-25,-10.9,,270,,20,8.0,,727,259,
Carshalton and Wallington,Carshalton and Wallington,England,"1,487.81707151578",257.81707151578,"1,485",,475,47,,2.8,211,,255,,45,21.4,,400,,150,60.0,,213,"1,274",
Castle Point,Castle Point,England,661.58788383788,171.58788383788,660,,-10,-1,,1.6,425,,170,,-15,-8.1,,155,,10,6.9,,388,271,
Central Ayrshire,Central Ayrshire,Scotland,"1,639.02528875492",409.02528875492,"1,635",,10,1,,4.0,89,,405,,35,9.5,,410,,30,7.9,,"1,068",568,
Central Devon,Central Devon,England,395.90491480864,75.90491480864,395,,50,14,,0.9,584,,75,,5,7.1,,140,,30,27.3,,285,109,
Central Suffolk and North Ipswich,Central Suffolk and North Ipswich,England,501.05359854751,106.05359854751,500,,55,12,,1.1,548,,105,,15,16.7,,155,,45,40.9,,358,144,
Ceredigion,Ceredigion,Wales,526.64701808473,141.64701808473,525,,-25,-5,,1.6,411,,140,,-10,-6.7,,140,,-5,-3.4,,367,160,
Charnwood,Charnwood,England,330.66024919075,90.66024919075,330,,-40,-11,,0.7,633,,90,,15,20.0,,85,,-25,-22.7,,187,144,
Chatham and Aylesford,Chatham and Aylesford,England,"1,242.39781777030",307.39781777030,"1,240",,-30,-2,,2.4,275,,305,,30,10.9,,285,,0,0.0,,905,338,
Cheadle,Cheadle,England,571.30399198484,121.30399198484,570,,-5,-1,,1.3,495,,120,,-15,-11.1,,125,,-10,-7.4,,280,288,
Chelmsford,Chelmsford,England,866.50662638765,166.50662638765,865,,50,6,,1.5,443,,165,,0,0.0,,220,,5,2.3,,612,256,
Chelsea and Fulham,Chelsea and Fulham,England,"1,071.82391287444",141.82391287444,"1,070",,50,5,,1.8,375,,140,,-30,-17.6,,340,,65,23.6,,718,350,
Cheltenham,Cheltenham,England,696.25725074134,156.25725074134,695,,30,5,,1.3,508,,155,,20,14.8,,170,,25,17.2,,425,269,
Chesham and Amersham,Chesham and Amersham,England,360.81197933466,80.81197933466,360,,95,36,,0.8,603,,80,,40,100.0,,110,,25,29.4,,244,117,
Chesterfield,Chesterfield,England,977.15358445020,272.15358445020,975,,40,4,,2.2,325,,270,,20,8.0,,220,,10,4.8,,636,336,
Chichester,Chichester,England,621.26804193963,116.26804193963,620,,75,14,,1.3,502,,115,,10,9.5,,185,,25,15.6,,434,187,
Chingford and Woodford Green,Chingford and Woodford Green,England,962.03187527665,177.03187527665,960,,65,7,,2.0,342,,175,,-15,-7.9,,245,,50,25.6,,628,329,
Chippenham,Chippenham,England,561.12298692836,146.12298692836,560,,-20,-3,,1.1,531,,145,,0,0.0,,135,,5,3.8,,354,207,
