date,geography,geography code,All categories,Agriculture,Mining and quarrying,Manufacturing,Manufacturing: Food,Manufacturing: Textiles,Manufacturing: Wood,Manufacturing: Chemicals,Manufacturing: Low tech,Manufacturing: High tech,Manufacturing: Other,Electricity and Gas,Water supply and Sewerage,Construction,Wholesale and retail trade,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,Professional and scientific activities,Administrative and support service activities,Public administration and defence,Education,Human health and social work,Arts and Entertainment,Activities of households as employers,Activities of extraterritorial organisations and bodies
2011,Barnsley Central,E14000541,38934,92,162,5061,1213,209,211,472,1320,671,965,191,384,3927,6849,2043,1865,753,821,465,1455,1960,2265,3462,5561,1598,17,3
2011,Barnsley East,E14000542,39526,130,167,4921,925,149,143,659,1450,615,980,228,420,4549,7217,2036,1772,809,851,392,1233,2205,2208,3329,5466,1582,7,4
2011,Batley and Spen,E14000548,49040,104,28,8484,1304,878,141,1196,1191,1252,2522,186,406,3721,8995,2721,2167,1205,2065,452,2184,2344,2334,4414,5497,1711,18,4
2011,Beverley and Holderness,E14000556,47666,1331,201,4940,612,100,177,931,711,1246,1163,460,250,4076,6936,2111,2444,864,793,468,2422,1619,4519,5559,6663,1975,27,8
2011,Bradford East,E14000587,42900,59,23,4872,905,459,181,491,512,913,1411,170,399,2589,8250,2898,3050,1060,1929,517,1585,2477,2068,4376,4964,1581,24,9
2011,Bradford South,E14000588,44312,93,24,5467,710,478,186,787,805,894,1607,162,544,3437,8286,2440,2033,946,2402,551,1710,2531,2153,4214,5670,1635,10,4
2011,Bradford West,E14000589,39724,82,12,4179,1156,387,114,388,365,526,1243,124,258,1816,7563,2890,3025,987,1761,483,1429,2119,1694,4661,5168,1446,10,17
2011,Brigg and Goole,E14000596,41817,995,170,6437,1020,98,203,800,2418,587,1311,644,358,3503,7150,3126,1821,695,811,376,1629,1678,2137,3651,5081,1533,20,2
2011,Calder Valley,E14000614,51253,272,52,6640,558,551,183,850,1330,1419,1749,135,432,4153,7307,1648,2139,1527,3374,660,2925,1898,2788,6266,6712,2289,31,5
2011,Cleethorpes,E14000643,43231,370,199,6572,1584,69,280,2072,1254,350,963,393,199,3858,7655,3569,2276,534,572,444,1689,1622,2351,3985,5220,1697,22,4
2011,Colne Valley,E14000645,53110,235,63,7444,597,1200,209,1107,1240,1543,1548,203,405,4343,8128,2134,2486,1380,1960,656,3129,1874,3048,6384,7033,2181,21,3
2011,Dewsbury,E14000666,48663,264,49,7470,727,1284,186,758,1089,1110,2316,203,435,3986,8633,2589,2081,1126,1762,515,2489,2021,2412,5105,5636,1875,9,3
2011,Don Valley,E14000667,43265,251,313,4630,587,104,151,833,1157,698,1100,327,436,4581,7791,2617,2036,864,1076,382,1538,1962,2966,3921,5805,1748,19,2
2011,Doncaster Central,E14000668,47702,129,179,5170,986,157,110,693,1212,836,1176,278,359,4008,9414,3765,2574,1154,1206,376,1548,2366,2506,3976,6683,1993,13,5
2011,Doncaster North,E14000669,42848,332,270,4454,701,115,254,438,1138,783,1025,372,487,4429,8821,2895,2076,856,971,341,1336,2184,2346,3510,5349,1798,17,4
2011,East Yorkshire,E14000683,45077,2000,92,4711,1310,147,243,480,634,941,956,170,267,3683,7714,1882,2962,825,912,557,2099,1556,3162,4564,5752,2135,25,9
2011,Elmet and Rothwell,E14000689,48271,279,90,4590,676,216,134,488,814,762,1500,471,348,4083,7723,1829,2164,1616,3077,680,3646,2194,2748,4518,5924,2243,38,10
2011,Great Grimsby,E14000716,38038,181,91,6280,2806,67,105,1478,679,246,899,205,233,2899,7432,2937,2009,367,479,336,1159,1822,1623,3226,5281,1459,15,4
2011,Halifax,E14000723,45392,63,50,6257,1048,480,149,656,1231,1082,1611,133,417,3444,6793,2136,2124,1061,4304,606,1841,1991,2349,4226,5903,1672,19,3
2011,Haltemprice and Howden,E14000724,43384,839,136,4973,583,88,153,747,685,1364,1353,361,233,3560,6431,1782,1851,1282,1022,559,2522,1472,3370,4903,6174,1881,26,7
2011,Harrogate and Knaresborough,E14000730,52408,444,53,3207,592,147,87,303,375,729,974,208,228,3411,8902,1618,3653,1913,2592,661,4720,2264,3064,5000,7421,2424,55,570
2011,Hemsworth,E14000740,41665,185,254,4057,895,257,167,466,738,496,1038,347,352,3658,9096,2596,1919,738,1195,630,1549,1958,2440,3716,5346,1608,15,6
2011,Huddersfield,E14000756,41584,73,47,5518,483,929,144,773,838,1140,1211,142,347,2764,7838,1982,2508,942,1418,537,2026,1695,2090,4423,5392,1823,17,2
2011,Keighley,E14000766,44175,220,30,5184,379,601,232,380,972,1155,1465,126,279,3393,7384,2066,2267,1127,2183,587,2566,1787,2026,4735,6327,1853,25,10
2011,Kingston upon Hull East,E14000771,40157,113,97,6184,1030,91,273,1251,811,1411,1317,359,293,3732,7566,2449,2087,640,411,374,1209,2201,2545,2890,5328,1665,8,6
2011,Kingston upon Hull North,E14000772,39912,142,63,5697,1471,108,152,877,657,1195,1237,347,193,3112,6858,1844,2752,843,394,388,1359,2243,2276,4213,5401,1758,22,7
2011,Kingston upon Hull West and Hessle,E14000773,38568,203,95,5902,1568,100,173,875,664,1181,1341,217,249,3177,7172,1911,2503,707,483,343,1334,2244,2076,2939,5433,1549,21,10
2011,Leeds Central,E14000777,56451,69,23,4697,898,240,117,465,735,668,1574,453,427,3224,9765,2828,5305,2097,3102,538,3530,3851,1911,4651,7262,2694,15,9
2011,Leeds East,E14000778,39080,52,19,3439,508,174,65,400,528,534,1230,472,305,3442,6489,2182,2482,926,1786,455,1640,2403,1782,3247,6266,1676,14,3
2011,Leeds North East,E14000779,44939,41,23,2342,359,164,44,266,303,418,788,350,203,2217,5794,1429,2139,2010,2494,801,4047,1997,2490,6237,8074,2204,30,17
2011,Leeds North West,E14000780,39557,108,22,2298,260,144,141,231,285,489,748,195,181,2243,6022,1120,3526,1535,1984,618,3240,1747,1909,5450,5172,2148,26,13
2011,Leeds West,E14000781,45164,40,19,4237,465,289,91,396,699,807,1490,342,274,3294,7541,2518,2828,1401,2515,488,2578,2667,2099,4395,5655,2256,12,5
2011,Morley and Outwood,E14000826,50685,114,67,5208,721,212,93,542,849,870,1921,411,354,4677,9375,2482,1946,1768,3340,504,2728,2308,3149,4363,5918,1952,14,7
2011,"Normanton, Pontefract and Castleford",E14000836,49904,162,346,6878,1838,404,204,592,1699,686,1455,747,496,4090,10061,3111,2479,864,1686,714,1688,2419,2524,3652,6057,1914,11,5
2011,Penistone and Stocksbridge,E14000876,42638,365,52,5051,473,108,186,362,2155,776,991,190,378,4120,6462,1804,1740,1144,1542,634,2194,1587,2637,4517,6282,1912,20,7
2011,Pudsey,E14000886,46361,77,16,4209,369,299,114,424,608,915,1480,288,288,3571,6699,1695,1836,1887,3163,693,3699,2152,2611,5715,5723,2015,15,9
2011,Richmond (Yorks),E14000895,55605,2637,195,3898,1080,140,86,506,818,486,782,168,276,4066,7229,1781,3624,1025,854,708,2640,1988,11062,4586,6321,2453,65,29
2011,Rother Valley,E14000903,44125,186,213,5796,666,96,147,380,2385,954,1168,253,447,4231,7314,2306,1818,1186,1541,425,1917,1871,2585,4412,5813,1793,15,3
2011,Rotherham,E14000904,37593,86,66,5338,484,101,106,341,2310,963,1033,224,422,3294,7015,2294,1997,731,947,334,1216,2060,1805,3191,5081,1472,15,5
2011,Scarborough and Whitby,E14000913,43849,899,394,4539,1151,71,187,425,689,1002,1014,164,226,3510,7194,1561,5290,581,573,542,1669,1517,2032,3984,6821,2315,25,13
2011,Scunthorpe,E14000914,40687,394,103,9073,1946,62,121,782,4675,417,1070,243,345,2974,7117,2324,2220,437,744,365,1079,1650,1817,3128,5257,1402,13,2
